test set,McCormick 1,McCormick 0.5,McCormick 0.25,Time McCormick 1,Time McCormick_0.5,Time McCormick_0.25
j3024_10,18702.0,18589.0,21712.0,0,0,0
j3025_1,18321.0,18321.0,19521.0,0,0,0
j3025_2,17692.0,17512.0,18548.0,0,0,0
j3025_3,20295.0,20295.0,21560.0,0,0,0
j3025_4,21013.0,24778.0,26801.0,0,0,0
j3025_5,18706.0,18713.0,19948.0,0,0,0
j3025_6,18456.0,18456.0,19574.0,0,0,0
j3025_7,20361.0,21893.0,22648.0,0,0,0
j3025_8,16854.0,16854.0,18187.0,0,0,0
j3025_9,21351.0,21351.0,23301.0,0,0,0
j3025_10,19237.0,19237.0,20823.5,0,0,0
j3026_1,20314.0,20470.0,22530.0,0,0,0
j3026_2,14239.0,14239.0,14640.0,0,0,0
j3026_3,21083.0,21033.0,24356.0,0,0,0
j3026_4,17772.0,17772.0,19648.0,0,0,0
j3026_5,19131.0,19770.0,23329.0,0,0,0
j3026_6,20283.0,20283.0,23170.0,0,0,0
j3026_7,23454.0,23454.0,28164.0,0,0,0
j3026_8,13762.0,13762.0,15579.0,0,0,0
j3026_9,19395.0,19395.0,21240.0,0,0,0
j3026_10,15397.0,15397.0,15297.0,0,0,0
j3027_1,18991.0,19226.0,21777.0,0,0,0
j3027_2,19438.0,19407.0,20219.0,0,0,0
j3027_3,15015.0,15015.0,15100.0,0,0,0
j3027_4,21987.0,24714.0,26581.0,0,0,0
j3027_5,20193.0,20206.0,23218.0,0,0,0
j3027_6,23425.0,23425.0,27225.5,0,0,0
j3027_7,18002.0,18002.0,18357.0,0,0,0
j3027_8,18834.0,18696.0,20809.0,0,0,0
j3027_9,23119.0,23119.0,28447.0,0,0,0
j3027_10,19074.0,19074.0,21101.0,0,0,0
j3028_1,23034.0,25905.0,31040.0,0,0,0
j3028_2,19061.0,19061.0,21271.0,0,0,0
j3028_3,18407.0,18407.0,19023.0,0,0,0
j3028_4,19916.0,20107.0,22908.0,0,0,0
j3028_5,25822.0,25822.0,28562.0,0,0,0
j3028_6,22142.0,24821.0,26406.0,0,0,0
j3028_7,19440.0,19289.0,19872.0,0,0,0
j3028_8,15565.0,15565.0,16671.0,0,0,0
j3028_9,15872.0,15872.0,16649.0,0,0,0
j3028_10,17049.0,17049.0,19565.0,0,0,0
j3029_1,19763.0,19763.0,21396.0,0,0,0
j3029_2,17385.0,17385.0,18362.0,0,0,0
j3029_3,18306.0,18306.0,21036.0,0,0,0
j3029_4,19913.0,20121.0,22380.0,0,0,0
j3029_5,19452.0,19032.0,23032.0,0,0,0
j3029_6,16930.0,16930.0,18588.0,0,0,0
j3029_7,16624.0,16624.0,17427.0,0,0,0
j3029_8,14153.0,14153.0,14902.0,0,0,0
j3029_9,18045.0,18113.0,19820.0,0,0,0
j3029_10,20871.0,20620.0,23171.5,0,0,0
j3030_1,15498.0,15498.0,16904.0,0,0,0
j3030_2,18768.0,18768.0,21854.0,0,0,0
j3030_3,19931.0,19931.0,21688.0,0,0,0
j3030_4,15386.0,15386.0,16111.0,0,0,0
j3030_5,20879.0,20879.0,24585.0,0,0,0
j3030_6,16172.0,16172.0,17391.0,0,0,0
j3030_7,23805.0,23645.0,28028.0,0,0,0
j3030_8,15090.0,15573.0,17856.000005601534,0,0,0
j3030_9,13569.0,13569.0,13569.0,0,0,0
j3030_10,16991.0,16991.0,18703.0,0,0,0
j3031_1,12206.0,12206.0,12880.0,0,0,0
j3031_2,16074.0,16074.0,18038.0,0,0,0
j3031_3,21571.0,21543.0,23840.0,0,0,0
j3031_4,13506.0,13503.0,15324.0,0,0,0
j3031_5,16594.0,16594.0,18225.0,0,0,0
j3031_6,16173.0,16173.0,17226.0,0,0,0
j3031_7,25231.0,25231.0,29158.0,0,0,0
j3031_8,22103.0,23695.0,26149.0,0,0,0
j3031_9,23285.0,23285.0,27053.5,0,0,0
j3031_10,17339.0,17339.0,18787.0,0,0,0
j3032_1,19935.0,19935.0,20375.0,0,0,0
j3032_2,22091.0,22091.0,25504.0,0,0,0
j3032_3,19045.0,19358.0,22186.0,0,0,0
j3032_4,28074.0,31647.0,37060.0,0,0,0
j3032_5,17103.0,17103.0,17756.0,0,0,0
j3032_6,20288.0,22901.0,27228.0,0,0,0
j3032_7,17663.0,17491.0,18342.0,0,0,0
j3032_8,18887.0,18887.0,21896.0,0,0,0
j3032_9,24282.0,24282.0,26031.0,0,0,0
j3032_10,15261.0,15261.0,15624.0,0,0,0
j3033_1,25398.0,25499.0,27126.5,0,0,0
j3033_2,20359.0,20137.0,23618.0,0,0,0
j3033_3,16298.0,16298.0,16111.0,0,0,0
j3033_4,30675.0,33433.0,37164.0,0,0,0
j3033_5,14931.0,14931.0,15271.0,0,0,0
j3033_6,19399.0,21159.0,23255.0,0,0,0
j3033_7,24993.0,24993.0,28802.0,0,0,0
j3033_8,21980.0,21980.0,24286.0,0,0,0
j3033_9,20351.0,20351.0,21192.0,0,0,0
j3033_10,15894.0,15894.0,16438.0,0,0,0
j3034_1,18775.0,18775.0,22387.0,0,0,0
j3034_2,18150.0,18150.0,18241.0,0,0,0
j3034_3,21395.0,21395.0,24222.0,0,0,0
j3034_4,26835.0,30538.0,31831.0,0,0,0
j3034_5,21385.0,21636.0,24369.0,0,0,0
j3034_6,14697.0,14697.0,15754.0,0,0,0
j3034_7,18369.0,18369.0,20240.0,0,0,0
j3034_8,15951.0,15951.0,17272.0,0,0,0
j3034_9,18869.0,19494.0,23256.0,0,0,0
j3034_10,16998.0,16998.0,17047.0,0,0,0
j3035_1,15134.0,15134.0,15552.0,0,0,0
j3035_2,18874.0,18874.0,20486.0,0,0,0
j3035_3,20845.0,20845.0,23367.0,0,0,0
j3035_4,16156.0,16156.0,16959.0,0,0,0
j3035_5,17789.0,17789.0,19826.666666666664,0,0,0
j3035_6,16546.0,16627.0,18024.0,0,0,0
j3035_7,19086.0,19086.0,21202.0,0,0,0
j3035_8,26384.0,26265.0,30100.0,0,0,0
j3035_9,19367.0,19367.0,19722.0,0,0,0
j3035_10,18135.0,18072.0,20201.0,0,0,0
j3036_1,18967.0,18804.0,20359.0,0,0,0
j3036_2,16124.0,16124.0,17141.0,0,0,0
j3036_3,19889.0,19889.0,19809.0,0,0,0
j3036_4,17405.0,18609.0,20406.0,0,0,0
j3036_5,17206.0,17206.0,19546.0,0,0,0
j3036_6,15816.0,15816.0,17062.0,0,0,0
j3036_7,19284.0,19284.0,19927.0,0,0,0
j3036_8,20221.0,20659.0,22735.0,0,0,0
j3036_9,21303.0,21303.0,22469.0,0,0,0
j3036_10,22439.0,22192.0,23590.0,0,0,0
j3037_1,18138.0,18138.0,18219.0,0,0,0
j3037_2,16761.0,16761.0,17738.0,0,0,0
j3037_3,20594.0,20594.0,23361.0,0,0,0
j3037_4,19562.0,19397.0,21510.0,0,0,0
j3037_5,22077.0,22077.0,24128.5,0,0,0
j3037_6,17390.0,17390.0,19244.0,0,0,0
j3037_7,20448.0,20448.0,24790.5,0,0,0
j3037_8,21104.0,21104.0,24121.0,0,0,0
j3037_9,15372.0,15372.0,16041.0,0,0,0
j3037_10,16272.0,16735.0,18971.0,0,0,0
j3038_1,19718.0,19614.0,19727.0,0,0,0
j3038_2,16146.0,16146.0,16784.0,0,0,0
j3038_3,18931.0,18931.0,21947.0,0,0,0
j3038_4,18720.0,19212.0,19644.0,0,0,0
j3038_5,20711.0,20711.0,22703.0,0,0,0
j3038_6,23139.0,23139.0,25520.5,0,0,0
j3038_7,18329.0,18329.0,18414.0,0,0,0
j3038_8,24355.0,24355.0,26234.0,0,0,0
j3038_9,18752.0,19117.0,21472.0,0,0,0
j3038_10,21645.0,23200.0,26949.0,0,0,0
j3039_1,16865.0,16865.0,17643.0,0,0,0
j3039_2,17834.0,17686.0,18981.0,0,0,0
j3039_3,20277.0,20277.0,20887.0,0,0,0
j3039_4,19437.0,19405.0,21076.0,0,0,0
j3039_5,17987.0,17987.0,17987.0,0,0,0
j3039_6,21561.0,21410.0,21871.833333333336,0,0,0
j3039_7,17375.0,17375.0,18493.0,0,0,0
j3039_8,23399.0,24645.0,26191.0,0,0,0
j3039_9,27876.0,27952.0,30448.0,0,0,0
j3039_10,23504.0,24031.0,27239.0,0,0,0
j3040_1,17746.0,17746.0,18566.0,0,0,0
j3040_2,19645.0,19645.0,22040.0,0,0,0
j3040_3,17899.0,17899.0,18085.0,0,0,0
j3040_4,21222.0,21004.0,21654.0,0,0,0
j3040_5,21126.0,21252.0,21570.0,0,0,0
j3040_6,19661.0,19604.0,21714.0,0,0,0
j3040_7,16634.0,16634.0,16697.0,0,0,0
j3040_8,22061.0,22061.0,22210.0,0,0,0
j3040_9,25576.0,25307.0,28390.0,0,0,0
j3040_10,19047.0,19047.0,21638.0,0,0,0
j3041_1,22462.0,22462.0,23712.0,0,0,0
j3041_2,19875.0,19875.0,20308.0,0,0,0
j3041_3,24784.0,25899.0,30015.0,0,0,0
j3041_4,19783.0,19783.0,20851.0,0,0,0
j3041_5,26162.0,27317.0,30416.0,0,0,0
j3041_6,21532.0,23824.0,26972.0,0,0,0
j3041_7,23177.0,23177.0,26877.0,0,0,0
j3041_8,22419.0,22419.0,22414.0,0,0,0
j3041_9,16217.0,16664.0,18397.0,0,0,0
j3041_10,20388.0,20472.0,23723.0,0,0,0
j3042_1,19539.0,20998.0,22202.0,0,0,0
j3042_2,18926.0,19030.0,21453.0,0,0,0
j3042_3,16422.0,16422.0,17199.0,0,0,0
j3042_4,15198.0,15484.0,15484.0,0,0,0
j3042_5,18768.0,19605.0,21314.0,0,0,0
j3042_6,25672.0,25306.0,30285.0,0,0,0
j3042_7,26184.0,27528.0,30481.0,0,0,0
j3042_8,20186.0,20186.0,22393.0,0,0,0
